STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; STRAHLUNGSTEMPERATUR; eor                                                                                    
    13667;  2021100704;   3;0;   10.1;   86;    9.1;eor                                                                                                                                                 
    13667;  2021100705;   3;0;   10.1;   90;    9.3;eor                                                                                                                                                 
    13667;  2021100706;   3;0;   10.3;   86;    9.5;eor                                                                                                                                                 
    13667;  2021100707;   3;0;   10.6;   86;   10.5;eor                                                                                                                                                 
    13667;  2021100708;   3;0;   11.3;   80;   13.2;eor                                                                                                                                                 
    13667;  2021100709;   3;0;   13.1;   77;   18.4;eor                                                                                                                                                 
    13667;  2021100710;   3;0;   13.3;   75;   18.2;eor                                                                                                                                                 
    13667;  2021100711;   3;0;   14.4;   68;   18.3;eor                                                                                                                                                 
    13667;  2021100712;   3;0;   15.6;   61;   30.6;eor                                                                                                                                                 
    13667;  2021100713;   3;0;   15.8;   59;   23.0;eor                                                                                                                                                 
    13667;  2021100714;   3;0;   15.4;   65;   18.2;eor                                                                                                                                                 
    13667;  2021100715;   3;0;   15.1;   62;   16.4;eor                                                                                                                                                 
    13667;  2021100716;   3;0;   14.4;   67;   14.4;eor                                                                                                                                                 
    13667;  2021100717;   3;0;   13.7;   75;   12.6;eor                                                                                                                                                 
    13667;  2021100718;   3;0;   12.0;   77;   10.1;eor                                                                                                                                                 
    13667;  2021100719;   3;0;   11.1;   79;    9.2;eor                                                                                                                                                 
    13667;  2021100720;   3;0;   11.1;   78;    9.9;eor                                                                                                                                                 
    13667;  2021100721;   3;0;   11.1;   79;    9.8;eor                                                                                                                                                 
    13667;  2021100722;   3;0;   10.2;   83;    8.3;eor                                                                                                                                                 
    13667;  2021100723;   3;0;    9.6;   86;    7.8;eor                                                                                                                                                 
    13667;  2021100800;   3;0;    8.8;   89;    6.9;eor                                                                                                                                                 
    13667;  2021100801;   3;0;    8.4;   90;    6.7;eor                                                                                                                                                 
    13667;  2021100802;   3;0;    7.7;   91;    6.1;eor                                                                                                                                                 
    13667;  2021100803;   3;0;    7.6;   90;    6.1;eor                                                                                                                                                 
    13667;  2021100804;   3;0;    7.4;   90;    5.7;eor                                                                                                                                                 
    13667;  2021100805;   3;0;    7.5;   90;    5.9;eor                                                                                                                                                 
    13667;  2021100806;   3;0;    7.6;   93;    6.9;eor                                                                                                                                                 
    13667;  2021100807;   3;0;    8.2;   91;    8.9;eor                                                                                                                                                 
    13667;  2021100808;   3;0;    9.5;   87;   11.2;eor                                                                                                                                                 
    13667;  2021100809;   3;0;   14.0;   69;   27.9;eor                                                                                                                                                 
    13667;  2021100810;   3;0;   14.2;   73;   18.5;eor                                                                                                                                                 
    13667;  2021100811;   3;0;   16.6;   62;   18.0;eor                                                                                                                                                 
    13667;  2021100812;   3;0;   18.5;   52;   30.7;eor                                                                                                                                                 
    13667;  2021100813;   3;0;   18.4;   54;   25.3;eor                                                                                                                                                 
    13667;  2021100814;   3;0;   17.2;   60;   19.1;eor                                                                                                                                                 
    13667;  2021100815;   3;0;   16.7;   63;   17.7;eor                                                                                                                                                 
    13667;  2021100816;   3;0;   16.3;   65;   17.2;eor                                                                                                                                                 
    13667;  2021100817;   3;0;   15.1;   68;   13.6;eor                                                                                                                                                 
    13667;  2021100818;   3;0;   13.7;   74;   12.0;eor                                                                                                                                                 
    13667;  2021100819;   3;0;   12.5;   79;   10.9;eor                                                                                                                                                 
    13667;  2021100820;   3;0;   11.7;   84;    9.8;eor                                                                                                                                                 
    13667;  2021100821;   3;0;   11.6;   85;   11.1;eor                                                                                                                                                 
    13667;  2021100822;   3;0;   11.3;   86;   10.0;eor                                                                                                                                                 
    13667;  2021100823;   3;0;   11.0;   86;    9.1;eor                                                                                                                                                 
    13667;  2021100900;   3;0;   10.6;   85;    8.7;eor                                                                                                                                                 
    13667;  2021100901;   3;0;    9.4;   89;    7.4;eor                                                                                                                                                 
    13667;  2021100902;   3;0;    8.2;   91;    6.3;eor                                                                                                                                                 
    13667;  2021100903;   3;0;    7.4;   92;    5.6;eor                                                                                                                                                 
    13667;  2021100904;   3;0;    7.4;   90;    5.6;eor                                                                                                                                                 
    13667;  2021100905;   3;0;    7.4;   91;    5.6;eor                                                                                                                                                 
    13667;  2021100906;   3;0;    6.8;   93;    5.1;eor                                                                                                                                                 
    13667;  2021100907;   3;0;    8.6;   84;   14.3;eor                                                                                                                                                 
    13667;  2021100908;   3;0;   10.2;   80;   21.0;eor                                                                                                                                                 
    13667;  2021100909;   3;0;   13.3;   68;   27.8;eor                                                                                                                                                 
    13667;  2021100910;   3;0;   12.0;   75;   13.7;eor                                                                                                                                                 
    13667;  2021100911;   3;0;   13.9;   69;   15.6;eor                                                                                                                                                 
    13667;  2021100912;   3;0;   15.9;   61;   29.9;eor                                                                                                                                                 
    13667;  2021100913;   3;0;   17.5;   57;   26.9;eor                                                                                                                                                 
    13667;  2021100914;   3;0;   16.7;   61;   17.2;eor                                                                                                                                                 
    13667;  2021100915;   3;0;   16.8;   61;   16.7;eor                                                                                                                                                 
    13667;  2021100916;   3;0;   16.4;   63;   15.3;eor                                                                                                                                                 
    13667;  2021100917;   3;0;   14.7;   65;   12.2;eor                                                                                                                                                 
    13667;  2021100918;   3;0;   12.4;   76;    9.8;eor                                                                                                                                                 
    13667;  2021100919;   3;0;   11.5;   70;    8.9;eor                                                                                                                                                 
    13667;  2021100920;   3;0;   10.3;   76;    7.9;eor                                                                                                                                                 
    13667;  2021100921;   3;0;    9.7;   77;    7.5;eor                                                                                                                                                 
    13667;  2021100922;   3;0;    8.9;   81;    6.6;eor                                                                                                                                                 
    13667;  2021100923;   3;0;    8.7;   80;    6.4;eor                                                                                                                                                 
    13667;  2021101000;   3;0;    8.0;   83;    5.7;eor                                                                                                                                                 
    13667;  2021101001;   3;0;    7.6;   85;    5.6;eor                                                                                                                                                 
    13667;  2021101002;   3;0;    7.0;   88;    5.1;eor                                                                                                                                                 
    13667;  2021101003;   3;0;    6.3;   84;    4.1;eor                                                                                                                                                 
    13667;  2021101004;   3;0;    5.7;   85;    3.7;eor                                                                                                                                                 
    13667;  2021101005;   3;0;    5.2;   91;    3.3;eor                                                                                                                                                 
    13667;  2021101006;   3;0;    4.2;   91;    2.6;eor                                                                                                                                                 
    13667;  2021101007;   3;0;    5.4;   85;   12.5;eor                                                                                                                                                 
